smiles,pka__fraction_neutral,pka__logd_estimate,pka__most_acidic_pka,pka__most_basic_pka,pka__num_acidic_sites,pka__num_basic_sites,pka__num_ionizable_sites,rdkit__ExactMolWt,rdkit__FractionCSP3,rdkit__HeavyAtomCount,rdkit__HeavyAtomMolWt,rdkit__LabuteASA,rdkit__MaxAbsPartialCharge,rdkit__MaxPartialCharge,rdkit__MinAbsPartialCharge,rdkit__MinPartialCharge,rdkit__MolLogP,rdkit__MolWt,rdkit__NHOHCount,rdkit__NOCount,rdkit__NumAliphaticCarbocycles,rdkit__NumAliphaticHeterocycles,rdkit__NumAliphaticRings,rdkit__NumAromaticCarbocycles,rdkit__NumAromaticHeterocycles,rdkit__NumAromaticRings,rdkit__NumHAcceptors,rdkit__NumHDonors,rdkit__NumHeteroatoms,rdkit__NumRotatableBonds,rdkit__NumSaturatedCarbocycles,rdkit__NumSaturatedHeterocycles,rdkit__NumSaturatedRings,rdkit__RingCount,rdkit__TPSA,rdkit__qed
CC(=O)Nc1ccc2c(=O)c(=O)c3cccc4ccc1c2c43,0.9996,2.7004,13.4332,3.9623,1,1,2,289.07389321200003,0.0555555555555555,22.0,278.202,124.21973430737071,0.3257566494117654,0.2336927876763024,0.2336927876763024,-0.3257566494117654,2.700600000000001,289.29,1.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,63.24,0.4326663653205888
COC(=O)C12CC1(C=O)C(C=O)C=C1CC(C)(C)CC12,1.0,1.9261,,,0,0,0,276.13615912,0.6875,20.0,256.172,118.10439778064487,0.4685452988179406,0.3129953256317463,0.3129953256317463,-0.4685452988179406,1.9261,276.332,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,2.0,0.0,2.0,3.0,60.440000000000005,0.4487354161271727
C1OC1C1CO1,1.0,-0.216,,,0,0,0,86.036779432,1.0,6.0,80.04199999999999,36.04950552297468,0.3702041096746291,0.1093109411208382,0.1093109411208382,-0.3702041096746291,-0.2159999999999999,86.09,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,25.06,0.4121649293296037
CC(C)(Oc1ccc([C@H]2CCCc3ccccc32)cc1)C(=O)O,0.0002,0.6897,3.693,,1,0,1,310.156894564,0.35,23.0,288.217,136.4715041689513,0.47830431383737,0.3469527260260394,0.3469527260260394,-0.47830431383737,4.396800000000003,310.39300000000003,1.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,46.53,0.9103234511517708
[O-][n+]1cc2ncccc2cn1,1.0,0.2632,,1.7855,0,3,3,147.04326178,0.0,11.0,142.09699999999998,62.69870890074575,0.5943726541388787,0.2354983714877542,0.2354983714877542,-0.5943726541388787,0.2632,147.137,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,52.72,0.3965176479850005
C=CN1CCCC1=O,1.0,0.7523,,2.1049,0,1,1,111.068413908,0.5,8.0,102.07199999999996,48.789883184346245,0.3196712290418209,0.2260551174591197,0.2260551174591197,-0.3196712290418209,0.7523,111.144,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,20.31,0.4886920431591796
Nc1c2ncn(C(c3ccccc3)c3ccccc3)c2nc[n+]1[O-],0.9997,2.2845,12.5788,3.8634,2,4,6,317.1276601,0.0555555555555555,24.0,302.232,137.96840846348803,0.7401698558273843,0.2507442779536492,0.2507442779536492,-0.7401698558273843,2.2846,317.3520000000001,2.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,1.0,6.0,3.0,0.0,0.0,0.0,4.0,83.67,0.4639743195894362
O=S(=O)(O)c1ccc2c(N=Nc3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,0.0,-4.4947,-0.9488,,4,0,4,537.9810576479998,0.0,35.0,524.4250000000003,197.9787460158384,0.5043012310620715,0.2978230083140113,0.2978230083140113,-0.5043012310620715,3.8541000000000007,538.5370000000003,4.0,12.0,0.0,0.0,0.0,4.0,0.0,4.0,9.0,4.0,15.0,5.0,0.0,0.0,0.0,4.0,208.06,0.2129086622563505
c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34,1.0,6.8904,,,0,0,0,302.109550448,0.0,24.0,288.264,138.8187506583086,0.0616286392192435,-0.0020125348591924,0.0020125348591924,-0.0616286392192435,6.890400000000002,302.37600000000003,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2115476434830673
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,0.0054,-1.6025,5.9614,8.1389,1,4,5,320.12846862400005,0.4,23.0,303.188,130.90360795598875,0.4774970128323774,0.3407248926033413,0.3407248926033413,-0.4774970128323774,0.6633000000000002,320.324,2.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,6.0,2.0,8.0,3.0,0.0,1.0,1.0,3.0,87.46000000000001,0.863919065170168
