task,global_macro_f1,local_macro_f1,hybrid_macro_f1,global_roc_auc,local_roc_auc,hybrid_roc_auc,lambda,metrics_path
Carcinogens_Lagunin,0.953610712577714,1.0,1.0,0.9979978438318189,1.0,1.0,0.0,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/Carcinogens_Lagunin/Carcinogens_Lagunin__train_molecule_level_metrics.json
HIA_Hou,1.0,1.0,1.0,1.0,1.0,1.0,0.0,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/HIA_Hou/HIA_Hou__train_molecule_level_metrics.json
Pgp_Broccatelli,0.9525659787051521,0.9940699410498868,0.9928848968057729,0.9895766130163307,0.9998373098909975,0.9997980398646866,0.05,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/Pgp_Broccatelli/Pgp_Broccatelli__train_molecule_level_metrics.json
DILI,0.9302616557833692,0.9939539627039626,0.9909275570898954,0.9832094988344988,0.999963578088578,0.9997814685314685,0.25,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/DILI/DILI__train_molecule_level_metrics.json
hERG,0.9057340173873665,0.9923424008493384,0.9793847346696769,0.9775952203136669,0.9999321067282233,0.9988910765609795,0.4,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/hERG/hERG__train_molecule_level_metrics.json
BBB_Martins,0.8921838577927732,0.9758037776506794,0.958140659387544,0.9698297495036916,0.9987006758716066,0.9962665343177712,0.35000000000000003,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/BBB_Martins/BBB_Martins__train_molecule_level_metrics.json
Skin_Reaction,0.8364861926505762,0.9630333617355968,0.9533730158730158,0.9694646816598036,0.9968957871396895,0.9959455178967374,0.2,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/Skin_Reaction/Skin_Reaction__train_molecule_level_metrics.json
CYP2D6_Substrate_CarbonMangels,0.8139348370927318,0.9533450443896352,0.9533450443896352,0.940020826102048,0.9946083535809326,0.9946083535809326,0.0,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/CYP2D6_Substrate_CarbonMangels/CYP2D6_Substrate_CarbonMangels__train_molecule_level_metrics.json
AMES,0.8476689321044587,0.9324206876382541,0.9209233340751797,0.9265146052328943,0.9837586329079302,0.9772274611946515,0.25,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/AMES/AMES__train_molecule_level_metrics.json
CYP2C9_Substrate_CarbonMangels,0.5886105420003725,0.9486690216362833,0.8943901885078356,0.9642962962962963,0.9991703703703704,0.9979851851851852,0.30000000000000004,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/CYP2C9_Substrate_CarbonMangels/CYP2C9_Substrate_CarbonMangels__train_molecule_level_metrics.json
PAMPA_NCATS,0.7609626059012562,0.909064110492682,0.8938319709383764,0.9155555555555556,0.99259877573734,0.990929326655537,0.1,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/PAMPA_NCATS/PAMPA_NCATS__train_molecule_level_metrics.json
CYP3A4_Substrate_CarbonMangels,0.7853444622556336,0.9484741264927024,0.8775555360921214,0.8631732168850073,0.9881893390820482,0.9522414460228843,0.65,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/CYP3A4_Substrate_CarbonMangels/CYP3A4_Substrate_CarbonMangels__train_molecule_level_metrics.json
Bioavailability_Ma,0.793269774933612,0.98082574828088,0.8266895414942644,0.9650883273703041,0.9996925313059034,0.9869745080500896,0.8,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/Bioavailability_Ma/Bioavailability_Ma__train_molecule_level_metrics.json
SARSCoV2_3CLPro_Diamond,0.7353700516351118,0.8850037397157816,0.7576354679802955,0.9490156486622918,0.9971875676065479,0.9815749621403331,0.8,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/SARSCoV2_3CLPro_Diamond/SARSCoV2_3CLPro_Diamond__train_molecule_level_metrics.json
ClinTox,0.5965544871794872,0.9753245543962479,0.6371838802903816,0.9733457263031395,0.9999999999999999,0.9905738320564819,0.9,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/ClinTox/ClinTox__train_molecule_level_metrics.json
SARSCoV2_Vitro_Touret,0.48554336989032904,0.6946808583832726,0.6350347754332194,0.9147843942505134,0.9978049989379028,0.9976279827232175,0.15000000000000002,/data1/tianang/Projects/TRIM/outputs/metrics/hybrid/train_all16_fg_plus_rdkit/SARSCoV2_Vitro_Touret/SARSCoV2_Vitro_Touret__train_molecule_level_metrics.json
