task,split,local_macro_f1,local_roc_auc,local_balanced_accuracy,local_accuracy,local_brier_score,local_log_loss,metrics_path
Pgp_Broccatelli,test,0.8408057179987004,0.8928952279392163,0.8410423886963476,0.8408163265306122,0.1236915689301696,0.4337477481921574,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/Pgp_Broccatelli/Pgp_Broccatelli__test_molecule_level_metrics.json
HIA_Hou,test,0.8320574162679426,0.9234567901234568,0.7907407407407407,0.8974358974358975,0.08639857165995447,0.35022159803685926,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/HIA_Hou/HIA_Hou__test_molecule_level_metrics.json
BBB_Martins,test,0.8032457754726452,0.8909060626249168,0.7838940706195869,0.8852040816326531,0.08796619786943786,0.301503957535961,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/BBB_Martins/BBB_Martins__test_molecule_level_metrics.json
DILI,test,0.800328407224959,0.8552173913043479,0.7995652173913044,0.8020833333333334,0.16018734890366193,0.5170698987408647,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/DILI/DILI__test_molecule_level_metrics.json
AMES,test,0.7471193359842032,0.8100452057866554,0.746519075740348,0.7570543702684102,0.1727069510685102,0.5426836246953848,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/AMES/AMES__test_molecule_level_metrics.json
Carcinogens_Lagunin,test,0.7333333333333334,0.8159090909090909,0.7159090909090908,0.8518518518518519,0.11548394005157342,0.45056760684465036,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/Carcinogens_Lagunin/Carcinogens_Lagunin__test_molecule_level_metrics.json
CYP2D6_Substrate_CarbonMangels,test,0.7191722972972974,0.8092621664050236,0.7069597069597069,0.7744360902255639,0.15737857537757324,0.5162296165380346,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/CYP2D6_Substrate_CarbonMangels/CYP2D6_Substrate_CarbonMangels__test_molecule_level_metrics.json
hERG,test,0.6420822135960984,0.7866847826086957,0.6283967391304348,0.7661290322580645,0.16845425034429157,0.5738256162561075,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/hERG/hERG__test_molecule_level_metrics.json
Skin_Reaction,test,0.5896690879741727,0.6504559270516717,0.5936170212765958,0.6219512195121951,0.25877385749603554,0.8422517033633543,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/Skin_Reaction/Skin_Reaction__test_molecule_level_metrics.json
SARSCoV2_3CLPro_Diamond,test,0.5788034188034188,0.716436251920123,0.5617511520737327,0.8806818181818182,0.0907387714616617,0.36150980053455245,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/SARSCoV2_3CLPro_Diamond/SARSCoV2_3CLPro_Diamond__test_molecule_level_metrics.json
CYP3A4_Substrate_CarbonMangels,test,0.5658994032395567,0.6251144688644689,0.5666208791208791,0.5746268656716418,0.25026789435546076,0.7344258031133688,/data1/tianang/Projects/TRIM/outputs/metrics/local_only/fg_only_topk4_same_scaffold_njobs16/test/CYP3A4_Substrate_CarbonMangels/CYP3A4_Substrate_CarbonMangels__test_molecule_level_metrics.json
