task,valid_fg_macro_f1,valid_base_macro_f1,valid_delta_macro_f1,valid_fg_roc_auc,valid_base_roc_auc,valid_delta_roc_auc,valid_fg_bal_acc,valid_base_bal_acc,valid_delta_bal_acc,test_fg_macro_f1,test_base_macro_f1,test_delta_macro_f1,test_fg_roc_auc,test_base_roc_auc,test_delta_roc_auc,test_fg_bal_acc,test_base_bal_acc,test_delta_bal_acc
AMES,0.7629696633694183,0.781957928802589,-0.01898826543317067,0.8404985153930301,0.864517893420847,-0.02401937802781684,0.7642365994686671,0.780668854508517,-0.016432255039849908,0.7471193359842032,0.7730360850222442,-0.025916749038040976,0.8100452057866554,0.8413272954034882,-0.031282089616832764,0.746519075740348,0.7717235640572686,-0.02520448831692057
BBB_Martins,0.8177191524719568,0.8177191524719568,0.0,0.8022820800598578,0.8670033670033671,-0.06472128694350932,0.7875982042648709,0.7875982042648709,0.0,0.8032457754726452,0.8135602177244623,-0.010314442251817102,0.8909060626249168,0.9228014656895402,-0.03189540306462346,0.7838940706195869,0.8088774150566289,-0.024983344437041977
Bioavailability_Ma,0.7037037037037037,0.6554865424430641,0.048217161260639574,0.7707390648567118,0.7601809954751131,0.010558069381598756,0.6726998491704375,0.6432880844645551,0.02941176470588236,0.5494824016563147,0.6153846153846154,-0.06590221372830074,0.7352843365480546,0.7565680079813768,-0.021283671433322215,0.5503824409710675,0.6039241769205188,-0.05354173594945133
CYP2C9_Substrate_CarbonMangels,0.5875,0.5732758620689655,0.014224137931034497,0.6923076923076923,0.6995645863570392,-0.007256894049346929,0.5776487663280117,0.567489114658926,0.010159651669085612,0.4759316770186335,0.5066666666666667,-0.03073498964803323,0.6649484536082474,0.6576234400434076,0.007325013564839833,0.5137004883342376,0.5371676614215952,-0.023467173087357573
CYP2D6_Substrate_CarbonMangels,0.79375,0.8181818181818181,-0.024431818181818166,0.8980963045912654,0.8454647256438971,0.05263157894736836,0.7681970884658456,0.7945128779395296,-0.02631578947368407,0.7191722972972974,0.7333906071019474,-0.014218309804649998,0.8092621664050236,0.8063840920983778,0.0028780743066457726,0.7069597069597069,0.717948717948718,-0.010989010989011061
CYP3A4_Substrate_CarbonMangels,0.4915178571428571,0.5667781493868451,-0.075260292243988,0.521978021978022,0.5888278388278388,-0.06684981684981683,0.5137362637362638,0.5778388278388278,-0.06410256410256399,0.5658994032395567,0.6200090744101634,-0.05410967117060672,0.6251144688644689,0.6464056776556777,-0.021291208791208827,0.5666208791208791,0.6215659340659341,-0.05494505494505497
Carcinogens_Lagunin,0.6690307328605201,0.8541666666666667,-0.18513593380614668,0.6608695652173914,0.7826086956521738,-0.12173913043478246,0.6565217391304348,0.8,-0.14347826086956528,0.7333333333333334,0.7537993920972644,-0.02046605876393104,0.8159090909090909,0.8431818181818183,-0.027272727272727337,0.7159090909090908,0.7,0.015909090909090873
ClinTox,0.4734848484848485,0.4734848484848485,0.0,0.5971128608923885,0.7887139107611548,-0.19160104986876636,0.4921259842519685,0.4921259842519685,0.0,0.533695652173913,0.5798115979604183,-0.04611594578650524,0.8093905472636815,0.8151948590381426,-0.005804311774461057,0.5259121061359867,0.5536898839137645,-0.02777777777777779
DILI,0.749636803874092,0.7696078431372549,-0.019971039263162904,0.7862745098039217,0.8627450980392157,-0.07647058823529407,0.7529411764705882,0.7696078431372549,-0.01666666666666672,0.800328407224959,0.8429148030980691,-0.04258639587311008,0.8552173913043479,0.9243478260869564,-0.0691304347826085,0.7995652173913044,0.8421739130434782,-0.042608695652173845
HIA_Hou,0.7807692307692308,0.8697638994668697,-0.08899466869763895,0.9314285714285714,0.9828571428571428,-0.05142857142857138,0.7142857142857143,0.8471428571428572,-0.1328571428571429,0.8320574162679426,0.9373191899710704,-0.10526177370312784,0.9234567901234568,0.991358024691358,-0.0679012345679012,0.7907407407407407,0.9203703703703704,-0.12962962962962965
PAMPA_NCATS,0.5621523441934385,0.6164021164021164,-0.05424977220867788,0.6124113475177305,0.7421985815602837,-0.1297872340425532,0.550709219858156,0.6093971631205674,-0.058687943262411335,0.5374898785425101,0.6039426523297491,-0.06645277378723902,0.7021375225341231,0.7529745042492918,-0.050836981715168705,0.5347154262168426,0.580994076744785,-0.04627865052794233
Pgp_Broccatelli,0.8761695906432749,0.8855250709555345,-0.009355480312259523,0.9430707303047728,0.914318573893042,0.02875215641173079,0.8704715353651524,0.8811098332374928,-0.010638297872340385,0.8408057179987004,0.8652252913034056,-0.024419573304705233,0.8928952279392163,0.947880565182618,-0.05498533724340171,0.8410423886963476,0.8657358037856572,-0.024693415089309556
SARSCoV2_3CLPro_Diamond,0.5262939958592132,0.51875,0.007543995859213171,0.60625,0.6375000000000001,-0.03125000000000011,0.525,0.51875,0.006249999999999978,0.5788034188034188,0.5788034188034188,0.0,0.716436251920123,0.7324116743471583,-0.015975422427035313,0.5617511520737327,0.5617511520737327,0.0
SARSCoV2_Vitro_Touret,0.4770318021201413,0.4788732394366197,-0.0018414373164784004,0.5842524509803921,0.799938725490196,-0.21568627450980382,0.4963235294117647,0.5,-0.003676470588235281,0.4852686308492201,0.484375,0.0008936308492201173,0.5714285714285714,0.5628151260504202,0.00861344537815123,0.5,0.4982142857142857,0.0017857142857142794
Skin_Reaction,0.6703296703296704,0.7025016903313049,-0.03217202000163455,0.6994949494949496,0.7853535353535354,-0.08585858585858575,0.6767676767676767,0.7045454545454546,-0.0277777777777779,0.5896690879741727,0.5212912087912087,0.06837787918296401,0.6504559270516717,0.660790273556231,-0.010334346504559333,0.5936170212765958,0.5434650455927051,0.050151975683890626
hERG,0.6618867924528302,0.7757757757757757,-0.1138889833229455,0.7538461538461538,0.8646153846153846,-0.11076923076923073,0.6661538461538461,0.7846153846153847,-0.11846153846153862,0.6420822135960984,0.7416666666666667,-0.09958445307056829,0.7866847826086957,0.8658288043478262,-0.07914402173913049,0.6283967391304348,0.7078804347826086,-0.07948369565217384
