task,dense_feature_total,global_selected_feature_count,local_selected_feature_count,global_selected_feature_pct,local_selected_feature_pct,global_rdkit_count,global_pka_count,local_rdkit_count,local_pka_count,only_local_count,only_global_count
AMES,36,30,36,83.33333333333333,100.0,25,5,29,7,6,0
BBB_Martins,36,34,36,94.44444444444444,100.0,29,5,29,7,2,0
Bioavailability_Ma,36,28,34,77.77777777777777,94.44444444444444,23,5,27,7,7,1
CYP2C9_Substrate_CarbonMangels,36,34,36,94.44444444444444,100.0,29,5,29,7,2,0
CYP2D6_Substrate_CarbonMangels,36,33,36,91.66666666666667,100.0,28,5,29,7,3,0
CYP3A4_Substrate_CarbonMangels,36,33,36,91.66666666666667,100.0,29,4,29,7,3,0
Carcinogens_Lagunin,36,25,35,69.44444444444444,97.22222222222223,23,2,28,7,10,0
ClinTox,36,30,35,83.33333333333333,97.22222222222223,25,5,29,6,6,1
DILI,36,29,35,80.55555555555556,97.22222222222223,25,4,28,7,7,1
HIA_Hou,36,34,33,94.44444444444444,91.66666666666667,29,5,26,7,2,3
PAMPA_NCATS,36,33,36,91.66666666666667,100.0,28,5,29,7,3,0
Pgp_Broccatelli,36,31,36,86.11111111111111,100.0,26,5,29,7,5,0
SARSCoV2_3CLPro_Diamond,36,30,36,83.33333333333333,100.0,25,5,29,7,6,0
SARSCoV2_Vitro_Touret,36,30,36,83.33333333333333,100.0,25,5,29,7,6,0
Skin_Reaction,36,28,35,77.77777777777777,97.22222222222223,23,5,29,6,8,1
hERG,36,32,36,88.88888888888889,100.0,27,5,29,7,4,0
